season_year,player_id,clutch_fta,clutch_tov,fta,ftm,tov,tov_3_second_violation,tov_back_court_violation,tov_bad_pass,tov_double_dribble,tov_kicked_ball_violation,tov_lane_violation,tov_lost_ball,tov_offensive_foul,tov_out_of_bounds,tov_palming,tov_traveling,tov_turnover,team_id
2025,player_kelsey_mitchell,19.0,5.0,191.0,150.0,78.0,0.0,2.0,29.0,1.0,0.0,0.0,10.0,7.0,21.0,0.0,8.0,0.0,IND
2025,player_kelsey_plum,47.0,7.0,245.0,219.0,133.0,0.0,0.0,53.0,0.0,0.0,0.0,28.0,16.0,29.0,0.0,6.0,1.0,LAS
2025,player_kennedy_burke,2.0,2.0,54.0,41.0,34.0,0.0,1.0,9.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,1.0,0.0,NYL
2025,player_kia_nurse,8.0,5.0,62.0,49.0,55.0,0.0,1.0,25.0,0.0,0.0,1.0,9.0,8.0,9.0,0.0,2.0,0.0,CHI
2025,player_kiah_stokes,0.0,1.0,8.0,5.0,16.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,LVA
2025,player_kiana_williams,2.0,0.0,4.0,2.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,PHO
2025,player_kierstan_bell,4.0,2.0,15.0,12.0,17.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,1.0,LVA
2025,player_kiki_iriafen,9.0,2.0,177.0,139.0,98.0,1.0,0.0,22.0,0.0,0.0,0.0,28.0,24.0,9.0,0.0,14.0,0.0,WAS
2025,player_kitija_laksa,2.0,0.0,32.0,26.0,19.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,PHO
2025,player_kyara_linskens,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GSV
2025,player_laeticia_amihere,7.0,3.0,63.0,49.0,32.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,7.0,2.0,0.0,7.0,0.0,GSV
2025,player_le_la_lacan,11.0,3.0,42.0,36.0,47.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,1.0,26.0,0.0,2.0,0.0,CON
2025,player_leonie_fiebich,6.0,1.0,62.0,54.0,45.0,0.0,1.0,17.0,0.0,0.0,0.0,8.0,6.0,11.0,0.0,2.0,0.0,NYL
2025,player_lexi_held,2.0,3.0,19.0,16.0,26.0,0.0,0.0,12.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,PHO
2025,player_lexie_brown,0.0,2.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,SEA
2025,player_lexie_hull,2.0,1.0,36.0,26.0,41.0,0.0,1.0,17.0,0.0,0.0,0.0,12.0,2.0,9.0,0.0,0.0,0.0,IND
2025,player_li_yueru,0.0,1.0,50.0,43.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,1.0,0.0,SEA
2025,player_liatu_king,0.0,2.0,15.0,11.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,DAL
2025,player_lindsay_allen,0.0,1.0,23.0,19.0,31.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,CON
2025,player_lucy_olsen,1.0,3.0,17.0,14.0,21.0,0.0,0.0,8.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,WAS
2025,player_luisa_geiselsoder,0.0,2.0,11.0,9.0,28.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,1.0,0.0,DAL
2025,player_maddy_siegrist,0.0,1.0,58.0,40.0,14.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,DAL
2025,player_maddy_westbeld,2.0,0.0,16.0,14.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,1.0,0.0,CHI
2025,player_madison_scott,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS
2025,player_makayla_timpson,6.0,0.0,27.0,18.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,IND
2025,player_mamignan_tour,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,CON
2025,player_mari_me_badiane,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MIN
2025,player_maria_kliundikova,2.0,1.0,21.0,12.0,23.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,4.0,0.0,MIN
2025,player_marina_mabrey,6.0,0.0,92.0,80.0,98.0,0.0,1.0,44.0,0.0,0.0,0.0,16.0,14.0,17.0,0.0,6.0,0.0,CON
2025,player_marine_johannes,0.0,1.0,19.0,16.0,52.0,0.0,0.0,28.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0,5.0,0.0,NYL
2025,player_marquesha_davis,3.0,0.0,7.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,CHI
2025,player_maya_caldwell,2.0,3.0,20.0,16.0,40.0,0.0,1.0,20.0,1.0,0.0,0.0,9.0,0.0,5.0,0.0,4.0,0.0,ATL
2025,player_megan_gustafson,0.0,0.0,15.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,LVA
2025,player_mercedes_russell,0.0,0.0,14.0,10.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,LAS
2025,player_michaela_onyenwere,0.0,3.0,51.0,43.0,56.0,0.0,0.0,11.0,0.0,0.0,0.0,15.0,11.0,13.0,1.0,4.0,1.0,CHI
2025,player_monique_akoa_makani,6.0,5.0,41.0,38.0,55.0,0.0,0.0,29.0,0.0,0.0,0.0,10.0,3.0,12.0,0.0,1.0,0.0,PHO
2025,player_monique_billings,2.0,2.0,53.0,36.0,21.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,2.0,0.0,GSV
2025,player_moriah_jefferson,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,CHI
2025,player_murjanatu_musa,0.0,1.0,11.0,7.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,PHO
2025,player_myisha_hines_allen,12.0,2.0,83.0,62.0,87.0,0.0,0.0,28.0,0.0,0.0,0.0,11.0,16.0,22.0,0.0,10.0,0.0,DAL
2025,player_nalyssa_smith,4.0,0.0,108.0,66.0,51.0,0.0,0.0,13.0,1.0,0.0,0.0,13.0,16.0,6.0,0.0,2.0,0.0,DAL
2025,player_napheesa_collier,20.0,5.0,177.0,161.0,71.0,3.0,0.0,12.0,0.0,0.0,0.0,20.0,18.0,13.0,1.0,4.0,0.0,MIN
2025,player_natasha_cloud,8.0,5.0,69.0,60.0,77.0,0.0,2.0,46.0,1.0,0.0,0.0,2.0,5.0,19.0,0.0,0.0,2.0,NYL
2025,player_natasha_howard,0.0,2.0,132.0,94.0,85.0,0.0,0.0,26.0,0.0,0.0,0.0,13.0,12.0,14.0,0.0,20.0,0.0,IND
2025,player_natasha_mack,0.0,1.0,36.0,17.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,PHO
2025,player_natisha_hiedeman,6.0,1.0,67.0,51.0,54.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,1.0,20.0,0.0,1.0,0.0,MIN
2025,player_naz_hillmon,5.0,2.0,59.0,49.0,50.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,7.0,9.0,0.0,4.0,1.0,ATL
2025,player_nia_coffey,5.0,3.0,50.0,36.0,30.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,5.0,0.0,ATL
2025,player_nneka_ogwumike,10.0,2.0,118.0,97.0,87.0,0.0,1.0,32.0,0.0,0.0,0.0,20.0,14.0,17.0,0.0,3.0,0.0,SEA
2025,player_nyara_sabally,4.0,0.0,25.0,17.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,6.0,0.0,0.0,0.0,NYL
2025,player_odyssey_sims,2.0,0.0,55.0,43.0,33.0,0.0,0.0,14.0,1.0,0.0,0.0,4.0,3.0,11.0,0.0,0.0,0.0,LAS
2025,player_olivia_nelson_ododa,8.0,0.0,111.0,78.0,40.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,14.0,9.0,0.0,3.0,0.0,CON
2025,player_paige_bueckers,9.0,0.0,153.0,136.0,72.0,0.0,0.0,36.0,0.0,0.0,0.0,16.0,2.0,17.0,0.0,1.0,0.0,DAL
2025,player_rachel_banham,10.0,5.0,59.0,52.0,71.0,0.0,0.0,44.0,0.0,0.0,0.0,12.0,3.0,10.0,0.0,2.0,0.0,CHI
2025,player_rae_burrell,8.0,0.0,47.0,35.0,25.0,0.0,1.0,9.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,1.0,0.0,LAS
2025,player_rayah_marshall,6.0,1.0,12.0,7.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,CON
2025,player_rebecca_allen,0.0,2.0,31.0,19.0,39.0,0.0,0.0,21.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,3.0,0.0,CHI
2025,player_rebekah_gardner,0.0,2.0,27.0,22.0,23.0,1.0,0.0,6.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,4.0,0.0,NYL
2025,player_rhyne_howard,19.0,4.0,118.0,101.0,55.0,0.0,0.0,28.0,0.0,0.0,1.0,11.0,3.0,12.0,0.0,0.0,0.0,ATL
2025,player_rickea_jackson,8.0,3.0,98.0,83.0,78.0,0.0,1.0,27.0,1.0,0.0,0.0,24.0,4.0,15.0,0.0,6.0,0.0,LAS
2025,player_robyn_parks,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CON
2025,player_sabrina_ionescu,30.0,3.0,165.0,154.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,16.0,4.0,37.0,0.0,2.0,1.0,NYL
2025,player_sami_whitcomb,12.0,3.0,54.0,46.0,67.0,0.0,0.0,33.0,0.0,0.0,0.0,12.0,4.0,15.0,0.0,2.0,1.0,PHO
2025,player_sania_feagin,0.0,0.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,LAS
2025,player_saniya_rivers,13.0,2.0,59.0,44.0,62.0,0.0,0.0,33.0,0.0,0.0,0.0,6.0,2.0,18.0,0.0,3.0,0.0,CON
2025,player_sarah_ashlee_barker,0.0,1.0,24.0,17.0,37.0,0.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,LAS
2025,player_satou_sabally,19.0,5.0,185.0,153.0,77.0,0.0,2.0,32.0,0.0,0.0,0.0,9.0,13.0,13.0,0.0,7.0,1.0,PHO
2025,player_serena_sundell,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,DAL
2025,player_sevgi_uzun,2.0,1.0,16.0,11.0,43.0,0.0,0.0,26.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,1.0,1.0,PHO
2025,player_shakira_austin,13.0,2.0,146.0,97.0,92.0,4.0,0.0,28.0,1.0,0.0,0.0,23.0,7.0,21.0,0.0,8.0,0.0,WAS
2025,player_shatori_walker_kimbrough,0.0,0.0,11.0,8.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,1.0,0.0,ATL
2025,player_shey_peddy,3.0,2.0,9.0,7.0,13.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,LAS
2025,player_sika_kon,8.0,1.0,13.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,ATL
2025,player_skylar_diggins,24.0,3.0,191.0,151.0,92.0,0.0,0.0,45.0,0.0,0.0,0.0,15.0,5.0,20.0,0.0,6.0,1.0,SEA
2025,player_sonia_citron,21.0,6.0,149.0,130.0,92.0,0.0,0.0,45.0,1.0,0.0,0.0,18.0,2.0,22.0,0.0,3.0,1.0,WAS
2025,player_sophie_cunningham,6.0,0.0,48.0,42.0,34.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0,9.0,10.0,0.0,2.0,0.0,IND
2025,player_stefanie_dolson,0.0,1.0,20.0,14.0,29.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,11.0,3.0,0.0,1.0,0.0,WAS
2025,player_stephanie_talbot,2.0,6.0,28.0,18.0,40.0,0.0,0.0,21.0,0.0,0.0,0.0,5.0,2.0,9.0,0.0,3.0,0.0,NYL
2025,player_sug_sutton,2.0,2.0,48.0,37.0,83.0,0.0,0.0,35.0,2.0,0.0,0.0,15.0,2.0,25.0,0.0,4.0,0.0,WAS
2025,player_sydney_colson,0.0,1.0,7.0,6.0,35.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,2.0,10.0,0.0,1.0,0.0,IND
2025,player_taylor_thierry,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL
2025,player_te_hina_paopao,0.0,1.0,13.0,7.0,44.0,0.0,1.0,20.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,3.0,0.0,ATL
2025,player_teaira_mccowan,0.0,1.0,29.0,22.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,DAL
2025,player_temi_fagbenle,2.0,2.0,36.0,26.0,58.0,1.0,0.0,14.0,0.0,0.0,0.0,6.0,21.0,12.0,0.0,4.0,0.0,GSV
2025,player_tiffany_hayes,14.0,2.0,80.0,64.0,49.0,0.0,0.0,22.0,0.0,0.0,0.0,13.0,0.0,12.0,0.0,2.0,0.0,GSV
2025,player_tiffany_mitchell,2.0,1.0,47.0,35.0,24.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,4.0,1.0,LVA
2025,player_tina_charles,14.0,1.0,196.0,168.0,82.0,2.0,0.0,29.0,0.0,0.0,1.0,20.0,9.0,11.0,0.0,10.0,0.0,CON
2025,player_tyasha_harris,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,DAL
2025,player_veronica_burton,31.0,4.0,189.0,166.0,94.0,1.0,1.0,51.0,0.0,0.0,0.0,17.0,3.0,19.0,0.0,1.0,1.0,GSV
2025,player_zia_cooke,0.0,4.0,23.0,15.0,22.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,1.0,7.0,0.0,1.0,0.0,SEA
