season_year,player_id,team_id,assisted_fgm,ast,clutch_fga,clutch_tov,fga,fgm,three_pa,three_pm,tov,tov_3_second_violation,tov_back_court_violation,tov_bad_pass,tov_double_dribble,tov_kicked_ball_violation,tov_lane_violation,tov_lost_ball,tov_offensive_foul,tov_out_of_bounds,tov_palming,tov_traveling,tov_turnover,trans_fga,two_pa,two_pm,unassisted_fgm,zone_paint_att,zone_paint_made,zone_unknown_att,zone_unknown_made,three_rate,fta_rate,clutch_fga_share,trans_fga_share,ast_to_tov,clutch_pf_committed,clutch_pf_drawn,pf_committed,pf_drawn
2025,player_a_ja_wilson,LVA,239.0,122.0,21.0,3.0,627.0,332.0,59.0,25.0,87.0,2.0,1.0,24.0,1.0,0.0,0.0,16.0,16.0,22.0,0.0,5.0,0.0,48.0,568.0,307.0,93.0,338.0,173.0,289.0,159.0,0.0940988835725677,0.0,0.0334928229665071,0.0765550239234449,1.3863636363636365,3.0,17.0,77.0,268.0
2025,player_a_ja_wilson,a94924c8-9ca9-49aa-94f1-864f49c51a1c,1.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,0.5,0.0,0.0,0.0,0.6666666666666666,3.0,17.0,77.0,268.0
2025,player_aaliyah_edwards,CON,18.0,11.0,2.0,0.0,53.0,24.0,2.0,0.0,18.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,3.0,51.0,24.0,6.0,14.0,8.0,39.0,16.0,0.0377358490566037,0.0,0.0377358490566037,0.0566037735849056,0.5789473684210527,0.0,5.0,56.0,73.0
2025,player_aaliyah_edwards,WAS,35.0,9.0,6.0,1.0,85.0,45.0,7.0,0.0,23.0,1.0,1.0,4.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,2.0,0.0,8.0,78.0,45.0,10.0,31.0,18.0,54.0,27.0,0.0823529411764705,0.0,0.0705882352941176,0.0941176470588235,0.375,0.0,5.0,56.0,73.0
2025,player_aaliyah_nye,LVA,50.0,24.0,14.0,2.0,161.0,59.0,113.0,37.0,27.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,18.0,48.0,22.0,9.0,28.0,13.0,133.0,46.0,0.7018633540372671,0.0,0.0869565217391304,0.1118012422360248,0.8571428571428571,4.0,2.0,57.0,18.0
2025,player_aari_mcdonald,IND,33.0,94.0,10.0,1.0,148.0,66.0,77.0,24.0,46.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,2.0,2.0,25.0,71.0,42.0,33.0,25.0,12.0,123.0,54.0,0.5202702702702703,0.0,0.0675675675675675,0.1689189189189189,2.0,2.0,5.0,49.0,53.0
2025,player_aerial_powers,GSV,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,18.0,20.0
2025,player_aerial_powers,IND,13.0,19.0,3.0,1.0,57.0,27.0,18.0,7.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,8.0,39.0,20.0,14.0,14.0,7.0,43.0,20.0,0.3157894736842105,0.0,0.0526315789473684,0.1403508771929824,1.5833333333333333,0.0,3.0,18.0,20.0
2025,player_alanna_smith,MIN,145.0,121.0,10.0,2.0,319.0,160.0,160.0,53.0,65.0,0.0,1.0,22.0,0.0,0.0,0.0,9.0,12.0,15.0,0.0,6.0,0.0,42.0,159.0,107.0,15.0,32.0,20.0,287.0,140.0,0.5015673981191222,0.0,0.0313479623824451,0.1316614420062695,1.8333333333333333,3.0,3.0,116.0,85.0
2025,player_alexis_prince,PHX,1.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,0.0,0.0,1.0,0.0
2025,player_alissa_pili,LAS,3.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,6.0,3.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.0,2.0,3.0,13.0,10.0
2025,player_alissa_pili,MIN,8.0,3.0,1.0,1.0,19.0,10.0,11.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,0.0,0.0,19.0,10.0,0.5789473684210527,0.0,0.0526315789473684,0.0526315789473684,0.375,2.0,3.0,13.0,10.0
2025,player_aliyah_boston,IND,187.0,163.0,20.0,1.0,465.0,271.0,29.0,6.0,81.0,1.0,0.0,20.0,0.0,0.0,0.0,11.0,25.0,16.0,0.0,8.0,0.0,12.0,436.0,265.0,84.0,188.0,102.0,277.0,169.0,0.0623655913978494,0.0,0.043010752688172,0.0258064516129032,1.9878048780487805,6.0,5.0,136.0,177.0
2025,player_aliyah_boston,a94924c8-9ca9-49aa-94f1-864f49c51a1c,4.0,2.0,0.0,0.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,4.0,0.5714285714285714,0.0,0.0,0.1428571428571428,2.0,6.0,5.0,136.0,177.0
2025,player_allisha_gray,ATL,185.0,147.0,14.0,4.0,514.0,246.0,252.0,98.0,74.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,4.0,16.0,1.0,4.0,0.0,80.0,262.0,148.0,61.0,112.0,55.0,402.0,191.0,0.490272373540856,0.0,0.0272373540856031,0.1556420233463035,1.96,8.0,12.0,112.0,171.0
2025,player_allisha_gray,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,3.0,2.0,0.0,0.0,12.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,12.0,5.0,1.0,0.0,0.0,0.1666666666666666,2.0,8.0,12.0,112.0,171.0
2025,player_alysha_clark,SEA,31.0,28.0,2.0,1.0,90.0,34.0,55.0,16.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,1.0,11.0,35.0,18.0,3.0,18.0,8.0,72.0,26.0,0.6111111111111112,0.0,0.0222222222222222,0.1222222222222222,1.5555555555555556,7.0,2.0,81.0,66.0
2025,player_alysha_clark,WAS,22.0,23.0,4.0,0.0,67.0,25.0,41.0,10.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,26.0,15.0,3.0,8.0,7.0,59.0,18.0,0.6119402985074627,0.0,0.0597014925373134,0.1044776119402985,3.8333333333333335,7.0,2.0,81.0,66.0
2025,player_alyssa_thomas,PHX,123.0,356.0,14.0,8.0,423.0,241.0,6.0,0.0,135.0,0.0,0.0,41.0,0.0,0.0,0.0,19.0,22.0,49.0,0.0,4.0,0.0,63.0,417.0,241.0,117.0,228.0,118.0,195.0,123.0,0.0141843971631205,0.0,0.0330969267139479,0.1489361702127659,2.617647058823529,3.0,16.0,85.0,156.0
2025,player_alyssa_thomas,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,1.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,16.0,85.0,156.0
2025,player_amy_okonkwo,DAL,25.0,6.0,2.0,1.0,59.0,30.0,30.0,10.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,11.0,29.0,20.0,5.0,17.0,9.0,42.0,21.0,0.5084745762711864,0.0,0.0338983050847457,0.1864406779661017,0.75,2.0,1.0,11.0,16.0
2025,player_aneesah_morrow,CON,68.0,21.0,15.0,5.0,271.0,112.0,75.0,18.0,45.0,1.0,1.0,17.0,2.0,0.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,15.0,196.0,94.0,44.0,71.0,28.0,200.0,84.0,0.2767527675276753,0.0,0.055350553505535,0.055350553505535,0.4565217391304347,6.0,4.0,81.0,77.0
2025,player_angel_reese,CHI,93.0,110.0,16.0,5.0,274.0,153.0,22.0,4.0,118.0,2.0,0.0,43.0,0.0,0.0,0.0,26.0,19.0,18.0,0.0,9.0,1.0,33.0,252.0,149.0,60.0,82.0,41.0,192.0,112.0,0.0802919708029197,0.0,0.0583941605839416,0.1204379562043795,0.9243697478991596,6.0,10.0,109.0,139.0
2025,player_angel_reese,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,3.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,3.0,0.0,0.0,0.0,7.0,3.0,0.1428571428571428,0.0,0.0,0.1428571428571428,1.0,6.0,10.0,109.0,139.0
2025,player_ariel_atkins,CHI,86.0,122.0,22.0,4.0,348.0,162.0,118.0,43.0,84.0,0.0,1.0,50.0,0.0,0.0,0.0,10.0,8.0,13.0,0.0,2.0,0.0,40.0,230.0,119.0,76.0,82.0,44.0,266.0,118.0,0.3390804597701149,0.0,0.0632183908045977,0.1149425287356321,1.4352941176470588,13.0,6.0,103.0,124.0
2025,player_arike_ogunbowale,DAL,84.0,120.0,16.0,6.0,393.0,147.0,158.0,48.0,60.0,0.0,0.0,33.0,0.0,0.0,0.0,5.0,14.0,8.0,0.0,0.0,0.0,58.0,235.0,99.0,63.0,88.0,40.0,305.0,107.0,0.4020356234096692,0.0,0.0407124681933842,0.1475826972010178,1.9672131147540983,9.0,6.0,76.0,92.0
2025,player_aziaha_james,DAL,62.0,59.0,22.0,0.0,273.0,106.0,111.0,32.0,38.0,0.0,0.0,15.0,2.0,0.0,0.0,10.0,1.0,7.0,0.0,3.0,0.0,42.0,162.0,74.0,44.0,77.0,37.0,196.0,69.0,0.4065934065934066,0.0,0.0805860805860805,0.1538461538461538,1.5128205128205128,4.0,3.0,46.0,47.0
2025,player_azura_stevens,LAS,160.0,94.0,15.0,1.0,403.0,204.0,194.0,74.0,64.0,0.0,2.0,27.0,0.0,0.0,1.0,8.0,5.0,18.0,0.0,3.0,0.0,38.0,209.0,130.0,44.0,74.0,37.0,329.0,167.0,0.4813895781637717,0.0,0.0372208436724565,0.0942928039702233,1.446153846153846,4.0,8.0,99.0,82.0
2025,player_breanna_stewart,NYL,147.0,108.0,11.0,4.0,384.0,188.0,86.0,21.0,60.0,0.0,2.0,19.0,0.0,0.0,0.0,17.0,7.0,11.0,0.0,4.0,0.0,59.0,298.0,167.0,41.0,158.0,80.0,226.0,108.0,0.2239583333333333,0.0,0.0286458333333333,0.1536458333333333,1.7704918032786885,4.0,10.0,59.0,159.0
2025,player_breanna_stewart,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,4.0,2.0,1.0,1.0,8.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,1.0,0.0,7.0,4.0,0.25,0.0,0.125,0.125,1.0,4.0,10.0,59.0,159.0
2025,player_bree_hall,GSV,1.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,1.0,4.0,1.0
2025,player_bree_hall,IND,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0
2025,player_bria_hartley,CON,49.0,117.0,17.0,1.0,269.0,106.0,145.0,54.0,69.0,0.0,1.0,29.0,1.0,0.0,0.0,11.0,7.0,16.0,0.0,4.0,0.0,43.0,124.0,52.0,57.0,39.0,10.0,230.0,96.0,0.5390334572490706,0.0,0.0631970260223048,0.1598513011152416,1.6714285714285717,3.0,9.0,97.0,83.0
2025,player_brianna_turner,IND,11.0,17.0,4.0,0.0,30.0,13.0,1.0,0.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,29.0,13.0,2.0,3.0,3.0,27.0,10.0,0.0333333333333333,0.0,0.1333333333333333,0.0333333333333333,1.7,1.0,0.0,23.0,8.0
2025,player_bridget_carleton,MIN,91.0,89.0,6.0,2.0,247.0,102.0,169.0,63.0,33.0,0.0,1.0,12.0,0.0,0.0,0.0,7.0,4.0,6.0,0.0,3.0,0.0,34.0,78.0,39.0,11.0,27.0,11.0,220.0,91.0,0.6842105263157895,0.0,0.0242914979757085,0.1376518218623481,2.617647058823529,4.0,1.0,83.0,53.0
2025,player_brionna_jones,ATL,168.0,95.0,10.0,4.0,387.0,225.0,46.0,12.0,64.0,0.0,0.0,13.0,0.0,0.0,0.0,17.0,15.0,7.0,0.0,12.0,0.0,13.0,341.0,213.0,57.0,109.0,61.0,278.0,164.0,0.1188630490956072,0.0,0.0258397932816537,0.0335917312661498,1.4615384615384617,6.0,4.0,107.0,141.0
2025,player_brionna_jones,a94924c8-9ca9-49aa-94f1-864f49c51a1c,3.0,3.0,0.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,1.0,0.0,5.0,5.0,0.1666666666666666,0.0,0.0,0.0,3.0,6.0,4.0,107.0,141.0
2025,player_brittney_griner,ATL,128.0,33.0,10.0,2.0,291.0,156.0,19.0,5.0,59.0,3.0,0.0,12.0,1.0,0.0,0.0,7.0,27.0,5.0,0.0,4.0,0.0,4.0,272.0,151.0,28.0,126.0,66.0,165.0,90.0,0.0652920962199312,0.0,0.0343642611683848,0.0137457044673539,0.55,2.0,1.0,78.0,93.0
2025,player_brittney_sykes,SEA,26.0,46.0,11.0,1.0,130.0,54.0,36.0,10.0,30.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,3.0,1.0,23.0,94.0,44.0,28.0,34.0,15.0,96.0,39.0,0.2769230769230769,0.0,0.0846153846153846,0.1769230769230769,1.4838709677419355,14.0,18.0,100.0,174.0
2025,player_brittney_sykes,WAS,65.0,109.0,21.0,5.0,299.0,120.0,66.0,21.0,68.0,0.0,0.0,27.0,1.0,0.0,0.0,11.0,5.0,23.0,0.0,1.0,0.0,53.0,233.0,99.0,55.0,90.0,33.0,209.0,87.0,0.2207357859531772,0.0,0.0702341137123745,0.177257525083612,1.579710144927536,14.0,18.0,100.0,174.0
2025,player_brittney_sykes,a94924c8-9ca9-49aa-94f1-864f49c51a1c,2.0,7.0,3.0,0.0,18.0,8.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,8.0,6.0,1.0,1.0,17.0,7.0,0.5,0.0,0.1666666666666666,0.0555555555555555,2.333333333333333,14.0,18.0,100.0,174.0
2025,player_caitlin_clark,IND,20.0,115.0,10.0,2.0,187.0,72.0,104.0,29.0,66.0,0.0,1.0,27.0,0.0,0.0,0.0,16.0,2.0,16.0,0.0,4.0,0.0,23.0,83.0,43.0,52.0,27.0,18.0,160.0,54.0,0.5561497326203209,0.0,0.053475935828877,0.1229946524064171,1.7164179104477613,4.0,4.0,36.0,57.0
2025,player_cameron_brink,LAS,25.0,9.0,1.0,0.0,75.0,35.0,34.0,10.0,25.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,8.0,3.0,0.0,1.0,0.0,1.0,41.0,25.0,10.0,15.0,6.0,60.0,29.0,0.4533333333333333,0.0,0.0133333333333333,0.0133333333333333,0.3461538461538461,1.0,1.0,48.0,23.0
2025,player_camryn_taylor,MIN,0.0,1.0,2.0,1.0,6.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.25,2.0,0.0,4.0,2.0
2025,player_carla_leite,GSV,44.0,75.0,6.0,1.0,206.0,86.0,72.0,13.0,57.0,0.0,1.0,29.0,0.0,0.0,0.0,8.0,1.0,14.0,0.0,3.0,1.0,21.0,134.0,73.0,42.0,75.0,45.0,131.0,41.0,0.3495145631067961,0.0,0.029126213592233,0.1019417475728155,1.293103448275862,1.0,5.0,55.0,86.0
2025,player_cecilia_zandalasini,GSV,45.0,32.0,11.0,1.0,147.0,67.0,90.0,37.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,1.0,0.0,12.0,57.0,30.0,22.0,23.0,11.0,124.0,56.0,0.6122448979591837,0.0,0.0748299319727891,0.0816326530612244,1.2307692307692308,5.0,1.0,34.0,29.0
2025,player_chelsea_gray,LVA,88.0,239.0,18.0,6.0,377.0,169.0,171.0,63.0,125.0,0.0,0.0,59.0,1.0,0.0,0.0,15.0,8.0,39.0,0.0,3.0,0.0,33.0,206.0,106.0,81.0,84.0,44.0,293.0,125.0,0.4535809018567639,0.0,0.0477453580901856,0.0875331564986737,1.8968253968253967,8.0,4.0,89.0,81.0
2025,player_cheyenne_parker_tyus,LVA,5.0,0.0,0.0,0.0,8.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,0.0,3.0,2.0,5.0,3.0,0.25,0.0,0.0,0.125,0.0,0.0,1.0,2.0,3.0
2025,player_chloe_bibby,GSV,10.0,3.0,3.0,0.0,26.0,11.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,2.0,2.0,24.0,9.0,0.7307692307692307,0.0,0.1153846153846153,0.0769230769230769,3.0,1.0,1.0,13.0,9.0
2025,player_chloe_bibby,IND,10.0,4.0,0.0,1.0,27.0,10.0,23.0,9.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,0.0,26.0,10.0,0.8518518518518519,0.0,0.0,0.1111111111111111,0.5,1.0,1.0,13.0,9.0
2025,player_christyn_williams,DAL,3.0,3.0,2.0,0.0,15.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,3.0,8.0,3.0,7.0,3.0,0.2666666666666666,0.0,0.1333333333333333,0.0666666666666666,1.5,1.0,1.0,4.0,4.0
2025,player_courtney_vandersloot,CHI,15.0,37.0,4.0,1.0,58.0,29.0,23.0,5.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,6.0,35.0,24.0,14.0,14.0,10.0,44.0,19.0,0.396551724137931,0.0,0.0689655172413793,0.1034482758620689,2.055555555555556,0.0,0.0,13.0,15.0
2025,player_courtney_williams,MIN,116.0,271.0,21.0,4.0,565.0,248.0,147.0,58.0,101.0,0.0,2.0,53.0,1.0,0.0,0.0,13.0,4.0,26.0,0.0,2.0,0.0,90.0,418.0,190.0,132.0,71.0,36.0,494.0,212.0,0.2601769911504424,0.0,0.0371681415929203,0.1592920353982301,2.656862745098039,4.0,5.0,86.0,61.0
2025,player_courtney_williams,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,3.0,5.0,1.0,1.0,9.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,1.0,8.0,4.0,0.4444444444444444,0.0,0.1111111111111111,0.2222222222222222,2.5,4.0,5.0,86.0,61.0
