playerId,playerName,phase0_teamId,xlsx_teamId,matchType,matchScore,action,dialogue
player_monique_akoa_makani,Monique Akoa Makani,PHO,PHO,exact,1.000,OK,
player_julie_allemand,Julie Allemand,LAS,LAS,exact,1.000,OK,
player_lindsay_allen,Lindsay Allen,CON,CON,exact,1.000,OK,
player_rebecca_allen,Rebecca Allen,CHI,CHI,exact,1.000,OK,
player_laeticia_amihere,Laeticia Amihere,GSV,GSV,exact,1.000,OK,
player_yvonne_anderson,Yvonne Anderson,MIN,MIN,exact,1.000,OK,
player_ariel_atkins,Ariel Atkins,CHI,CHI,exact,1.000,OK,
player_shakira_austin,Shakira Austin,WAS,WAS,exact,1.000,OK,
player_mari_me_badiane,Marième Badiane,MIN,MIN,exact,1.000,OK,
player_rachel_banham,Rachel Banham,CHI,CHI,exact,1.000,OK,
player_sarah_ashlee_barker,Sarah Ashlee Barker,LAS,LAS,exact,1.000,OK,
player_kierstan_bell,Kierstan Bell,LVA,LVA,exact,1.000,OK,
player_monique_billings,Monique Billings,GSV,GSV,exact,1.000,OK,
player_aliyah_boston,Aliyah Boston,IND,IND,exact,1.000,OK,
player_crystal_bradford,Crystal Bradford,LVA,LVA,exact,1.000,OK,
player_cameron_brink,Cameron Brink,LAS,LAS,exact,1.000,OK,
player_jaelyn_brown,Jaelyn Brown,CON,CON,exact,1.000,OK,
player_kalani_brown,Kalani Brown,PHO,PHO,exact,1.000,OK,
player_lexie_brown,Lexie Brown,SEA,SEA,exact,1.000,OK,
player_paige_bueckers,Paige Bueckers,DAL,DAL,exact,1.000,OK,
player_kennedy_burke,Kennedy Burke,NYL,NYL,exact,1.000,OK,
player_rae_burrell,Rae Burrell,LAS,LAS,exact,1.000,OK,
player_veronica_burton,Veronica Burton,GSV,GSV,exact,1.000,OK,
player_maya_caldwell,Maya Caldwell,ATL,ATL,exact,1.000,OK,
player_jordin_canada,Jordin Canada,ATL,ATL,exact,1.000,OK,
player_emma_cannon,Emma Cannon,LAS,LAS,exact,1.000,OK,
player_kamilla_cardoso,Kamilla Cardoso,CHI,CHI,exact,1.000,OK,
player_bridget_carleton,Bridget Carleton,MIN,MIN,exact,1.000,OK,
player_tina_charles,Tina Charles,CON,CON,exact,1.000,OK,
player_kaitlyn_chen,Kaitlyn Chen,GSV,GSV,exact,1.000,OK,
player_sonia_citron,Sonia Citron,WAS,WAS,exact,1.000,OK,
player_caitlin_clark,Caitlin Clark,IND,IND,exact,1.000,OK,
player_natasha_cloud,Natasha Cloud,NYL,NYL,exact,1.000,OK,
player_nia_coffey,Nia Coffey,ATL,ATL,exact,1.000,OK,
player_napheesa_collier,Napheesa Collier,MIN,MIN,exact,1.000,OK,
player_sydney_colson,Sydney Colson,IND,IND,exact,1.000,OK,
player_zia_cooke,Zia Cooke,SEA,SEA,exact,1.000,OK,
player_kahleah_copper,Kahleah Copper,PHO,PHO,exact,1.000,OK,
player_sophie_cunningham,Sophie Cunningham,IND,IND,exact,1.000,OK,
player_damiris_dantas,Damiris Dantas,IND,IND,exact,1.000,OK,
player_kariata_diaby,Kariata Diaby,CON,CON,exact,1.000,OK,
player_skylar_diggins,Skylar Diggins,SEA,SEA,exact,1.000,OK,
player_stefanie_dolson,Stefanie Dolson,WAS,WAS,exact,1.000,OK,
player_emily_engstler,Emily Engstler,WAS,WAS,exact,1.000,OK,
player_dana_evans,Dana Evans,LVA,LVA,exact,1.000,OK,
player_temi_fagbenle,Temi Fagbenle,GSV,GSV,exact,1.000,OK,
player_sania_feagin,Sania Feagin,LAS,LAS,exact,1.000,OK,
player_leonie_fiebich,Leonie Fiebich,NYL,NYL,exact,1.000,OK,
player_rebekah_gardner,Rebekah Gardner,NYL,NYL,exact,1.000,OK,
player_luisa_geiselsoder,Luisa Geiselsoder,DAL,DAL,exact,1.000,OK,
player_allisha_gray,Allisha Gray,ATL,ATL,exact,1.000,OK,
player_chelsea_gray,Chelsea Gray,LVA,LVA,exact,1.000,OK,
player_brittney_griner,Brittney Griner,ATL,ATL,exact,1.000,OK,
player_megan_gustafson,Megan Gustafson,LVA,LVA,exact,1.000,OK,
player_dearica_hamby,Dearica Hamby,LAS,LAS,exact,1.000,OK,
player_isabelle_harrison,Isabelle Harrison,NYL,NYL,exact,1.000,OK,
player_tyasha_harris,Tyasha Harris,DAL,DAL,exact,1.000,OK,
player_bria_hartley,Bria Hartley,CON,CON,exact,1.000,OK,
player_tiffany_hayes,Tiffany Hayes,GSV,GSV,exact,1.000,OK,
player_lexi_held,Lexi Held,PHO,,none,,NOT_FOUND_IN_XLSX,Could not verify Lexi Held (PHO) because no match was found in the xlsx.
player_natisha_hiedeman,Natisha Hiedeman,MIN,MIN,exact,1.000,OK,
player_naz_hillmon,Naz Hillmon,ATL,ATL,exact,1.000,OK,
player_myisha_hines_allen,Myisha Hines-Allen,DAL,DAL,exact,1.000,OK,
player_joyner_holmes,Joyner Holmes,LVA,LVA,exact,1.000,OK,
player_mackenzie_holmes,Mackenzie Holmes,SEA,SEA,exact,1.000,OK,
player_natasha_howard,Natasha Howard,IND,IND,exact,1.000,OK,
player_rhyne_howard,Rhyne Howard,ATL,ATL,exact,1.000,OK,
player_lexie_hull,Lexie Hull,IND,IND,exact,1.000,OK,
player_sabrina_ionescu,Sabrina Ionescu,NYL,NYL,exact,1.000,OK,
player_kiki_iriafen,Kiki Iriafen,WAS,WAS,exact,1.000,OK,
player_rickea_jackson,Rickea Jackson,LAS,LAS,exact,1.000,OK,
player_aziaha_james,Aziaha James,DAL,DAL,exact,1.000,OK,
player_moriah_jefferson,Moriah Jefferson,CHI,CHI,exact,1.000,OK,
player_marine_johannes,Marine Johannes,NYL,NYL,exact,1.000,OK,
player_brionna_jones,Brionna Jones,ATL,ATL,exact,1.000,OK,
player_jonquel_jones,Jonquel Jones,NYL,NYL,exact,1.000,OK,
player_elizabeth_kitley,Elizabeth Kitley,LVA,LVA,exact,1.000,OK,
player_anastasiia_kosu,Anastasiia Kosu,MIN,,none,,NOT_FOUND_IN_XLSX,Could not verify Anastasiia Kosu (MIN) because no match was found in the xlsx.
player_le_la_lacan,Leïla Lacan,CON,CON,exact,1.000,OK,
player_kitija_laksa,Kitija Laksa,PHO,PHO,exact,1.000,OK,
player_kyra_lambert,Kyra Lambert,IND,IND,exact,1.000,OK,
player_carla_leite,Carla Leite,GSV,GSV,exact,1.000,OK,
player_kyara_linskens,Kyara Linskens,GSV,GSV,exact,1.000,OK,
player_jewell_loyd,Jewell Loyd,LVA,LVA,exact,1.000,OK,
player_marina_mabrey,Marina Mabrey,CON,CON,exact,1.000,OK,
player_natasha_mack,Natasha Mack,PHO,PHO,exact,1.000,OK,
player_ezi_magbegor,Ezi Magbegor,SEA,SEA,exact,1.000,OK,
player_dominique_malonga,Dominique Malonga,SEA,SEA,exact,1.000,OK,
player_rayah_marshall,Rayah Marshall,CON,CON,exact,1.000,OK,
player_kate_martin,Kate Martin,GSV,GSV,exact,1.000,OK,
player_kayla_mcbride,Kayla McBride,MIN,MIN,exact,1.000,OK,
player_megan_mcconnell,Megan McConnell,PHO,PHO,exact,1.000,OK,
player_teaira_mccowan,Teaira McCowan,DAL,DAL,exact,1.000,OK,
player_aari_mcdonald,Aari McDonald,IND,IND,exact,1.000,OK,
player_emma_meesseman,Emma Meesseman,NYL,NYL,exact,1.000,OK,
player_jade_melbourne,Jade Melbourne,WAS,WAS,exact,1.000,OK,
player_kelsey_mitchell,Kelsey Mitchell,IND,IND,exact,1.000,OK,
player_aneesah_morrow,Aneesah Morrow,CON,CON,exact,1.000,OK,
player_murjanatu_musa,Murjanatu Musa,PHO,PHO,exact,1.000,OK,
player_olivia_nelson_ododa,Olivia Nelson-Ododa,CON,CON,exact,1.000,OK,
player_kia_nurse,Kia Nurse,CHI,CHI,exact,1.000,OK,
player_aaliyah_nye,Aaliyah Nye,LVA,LVA,exact,1.000,OK,
player_arike_ogunbowale,Arike Ogunbowale,DAL,DAL,exact,1.000,OK,
player_nneka_ogwumike,Nneka Ogwumike,SEA,SEA,exact,1.000,OK,
player_amy_okonkwo,Amy Okonkwo,DAL,DAL,exact,1.000,OK,
player_lucy_olsen,Lucy Olsen,WAS,WAS,exact,1.000,OK,
player_michaela_onyenwere,Michaela Onyenwere,CHI,CHI,exact,1.000,OK,
player_te_hina_paopao,Te-Hina PaoPao,ATL,ATL,exact,1.000,OK,
player_cheyenne_parker_tyus,Cheyenne Parker-Tyus,LVA,LVA,exact,1.000,OK,
player_robyn_parks,Robyn Parks,CON,CON,exact,1.000,OK,
player_haley_peters,Haley Peters,CON,CON,exact,1.000,OK,
player_ajae_petty,Ajae Petty,DAL,DAL,exact,1.000,OK,
player_kelsey_plum,Kelsey Plum,LAS,LAS,exact,1.000,OK,
player_alexis_prince,Alexis Prince,PHO,PHO,exact,1.000,OK,
player_jj_quinerly,JJ Quinerly,DAL,DAL,exact,1.000,OK,
player_angel_reese,Angel Reese,CHI,CHI,exact,1.000,OK,
player_saniya_rivers,Saniya Rivers,CON,CON,exact,1.000,OK,
player_iliana_rupert,Iliana Rupert,GSV,GSV,exact,1.000,OK,
player_mercedes_russell,Mercedes Russell,LAS,LAS,exact,1.000,OK,
player_nyara_sabally,Nyara Sabally,NYL,NYL,exact,1.000,OK,
player_satou_sabally,Satou Sabally,PHO,PHO,exact,1.000,OK,
player_janelle_sala_n,Janelle Salaün,GSV,GSV,exact,1.000,OK,
player_karlie_samuelson,Karlie Samuelson,MIN,MIN,exact,1.000,OK,
player_madison_scott,Madison Scott,WAS,WAS,exact,1.000,OK,
player_jessica_shepard,Jessica Shepard,MIN,MIN,exact,1.000,OK,
player_maddy_siegrist,Maddy Siegrist,DAL,DAL,exact,1.000,OK,
player_kamiah_smalls,Kamiah Smalls,ATL,ATL,exact,1.000,OK,
player_alanna_smith,Alanna Smith,MIN,MIN,exact,1.000,OK,
player_azura_stevens,Azura Stevens,LAS,,none,,NOT_FOUND_IN_XLSX,Could not verify Azura Stevens (LAS) because no match was found in the xlsx.
player_breanna_stewart,Breanna Stewart,NYL,NYL,exact,1.000,OK,
player_kiah_stokes,Kiah Stokes,LVA,LVA,exact,1.000,OK,
player_serena_sundell,Serena Sundell,DAL,DAL,exact,1.000,OK,
player_sug_sutton,Sug Sutton,WAS,WAS,exact,1.000,OK,
player_camryn_taylor,Camryn Taylor,MIN,MIN,exact,1.000,OK,
player_taylor_thierry,Taylor Thierry,ATL,ATL,exact,1.000,OK,
player_alyssa_thomas,Alyssa Thomas,PHO,PHO,exact,1.000,OK,
player_kayla_thornton,Kayla Thornton,GSV,GSV,exact,1.000,OK,
player_makayla_timpson,Makayla Timpson,IND,IND,exact,1.000,OK,
player_mamignan_tour,Mamignan Touré,CON,CON,exact,1.000,OK,
player_brianna_turner,Brianna Turner,IND,IND,exact,1.000,OK,
player_maria_kliundikova,Maria Kliundikova,MIN,MIN,exact,1.000,OK,
player_courtney_vandersloot,Courtney Vandersloot,CHI,CHI,exact,1.000,OK,
player_hailey_van_lith,Hailey Van Lith,CHI,CHI,exact,1.000,OK,
player_shatori_walker_kimbrough,Shatori Walker-Kimbrough,ATL,ATL,exact,1.000,OK,
player_kathryn_westbeld,Kathryn Westbeld,PHO,PHO,exact,1.000,OK,
player_maddy_westbeld,Maddy Westbeld,CHI,CHI,exact,1.000,OK,
player_erica_wheeler,Erica Wheeler,SEA,SEA,exact,1.000,OK,
player_sami_whitcomb,Sami Whitcomb,PHO,PHO,exact,1.000,OK,
player_christyn_williams,Christyn Williams,DAL,DAL,exact,1.000,OK,
player_courtney_williams,Courtney Williams,MIN,MIN,exact,1.000,OK,
player_elizabeth_williams,Elizabeth Williams,CHI,CHI,exact,1.000,OK,
player_gabby_williams,Gabby Williams,SEA,SEA,exact,1.000,OK,
player_kiana_williams,Kiana Williams,PHO,PHO,exact,1.000,OK,
player_a_ja_wilson,A'ja Wilson,LVA,LVA,exact,1.000,OK,
player_jackie_young,Jackie Young,LVA,LVA,exact,1.000,OK,
player_cecilia_zandalasini,Cecilia Zandalasini,GSV,GSV,exact,1.000,OK,
player_grace_berger,Grace Berger,LAS,LAS,exact,1.000,OK,
player_chloe_bibby,Chloe Bibby,GSV,GSV,exact,1.000,OK,
player_dewanna_bonner,DeWanna Bonner,IND,IND,exact,1.000,OK,
player_dijonai_carrington,DiJonai Carrington,MIN,MIN,exact,1.000,OK,
player_kaila_charles,Kaila Charles,DAL,DAL,exact,1.000,OK,
player_alysha_clark,Alysha Clark,WAS,WAS,exact,1.000,OK,
player_marquesha_davis,Marquesha Davis,CHI,CHI,exact,1.000,OK,
player_aaliyah_edwards,Aaliyah Edwards,CON,CON,exact,1.000,OK,
player_bree_hall,Bree Hall,IND,IND,exact,1.000,OK,
player_haley_jones,Haley Jones,PHO,PHO,exact,1.000,OK,
player_liatu_king,Liatu King,DAL,DAL,exact,1.000,OK,
player_sika_kon,Sika Koné,ATL,ATL,exact,1.000,OK,
player_diamond_miller,Diamond Miller,DAL,DAL,exact,1.000,OK,
player_tiffany_mitchell,Tiffany Mitchell,LVA,LVA,exact,1.000,OK,
player_shey_peddy,Shey Peddy,LAS,LAS,exact,1.000,OK,
player_alissa_pili,Alissa Pili,LAS,LAS,exact,1.000,OK,
player_aerial_powers,Aerial Powers,GSV,GSV,exact,1.000,OK,
player_jacy_sheldon,Jacy Sheldon,WAS,WAS,exact,1.000,OK,
player_jaylyn_sherrod,Jaylyn Sherrod,MIN,MIN,exact,1.000,OK,
player_odyssey_sims,Odyssey Sims,LAS,LAS,exact,1.000,OK,
player_nalyssa_smith,NaLyssa Smith,DAL,DAL,exact,1.000,OK,
player_brittney_sykes,Brittney Sykes,SEA,SEA,exact,1.000,OK,
player_stephanie_talbot,Stephanie Talbot,NYL,NYL,exact,1.000,OK,
player_sevgi_uzun,Sevgi Uzun,PHO,PHO,exact,1.000,OK,
player_julie_vanloo,Julie Vanloo,GSV,GSV,exact,1.000,OK,
player_li_yueru,Li Yueru,SEA,SEA,exact,1.000,OK,
